Country,Switzerland,Iceland,Denmark,Norway,Canada,Finland,Netherlands,Sweden,New Zealand,Australia,Israel,Costa Rica,Austria,Mexico,United States,Brazil,Luxembourg,Ireland,Belgium,United Arab Emirates,United Kingdom,Oman,Venezuela,Singapore,Panama,Germany,Chile,Qatar,France,Argentina,Czech Republic,Uruguay,Colombia,Thailand,Saudi Arabia,Spain,Malta,Taiwan,Kuwait,Suriname,Trinidad and Tobago,El Salvador,Guatemala,Uzbekistan,Slovakia,Japan,South Korea,Ecuador,Bahrain,Italy,Bolivia,Moldova,Paraguay,Kazakhstan,Slovenia,Lithuania,Nicaragua,Peru,Belarus,Poland,Malaysia,Croatia,Libya,Russia,Jamaica,North Cyprus,Cyprus,Algeria,Kosovo,Turkmenistan,Mauritius,Hong Kong,Estonia,Indonesia,Vietnam,Turkey,Kyrgyzstan,Nigeria,Bhutan,Azerbaijan,Pakistan,Jordan,Montenegro,China,Zambia,Romania,Serbia,Portugal,Latvia,Philippines,Somaliland region,Morocco,Macedonia,Mozambique,Albania,Bosnia and Herzegovina,Lesotho,Dominican Republic,Laos,Mongolia,Swaziland,Greece,Lebanon,Hungary,Honduras,Tajikistan,Tunisia,Palestinian Territories,Bangladesh,Iran,Ukraine,Iraq,South Africa,Ghana,Zimbabwe,Liberia,India,Sudan,Haiti,Congo (Kinshasa),Nepal,Ethiopia,Sierra Leone,Mauritania,Kenya,Djibouti,Armenia,Botswana,Myanmar,Georgia,Malawi,Sri Lanka,Cameroon,Bulgaria,Egypt,Yemen,Angola,Mali,Congo (Brazzaville),Comoros,Uganda,Senegal,Gabon,Niger,Cambodia,Tanzania,Madagascar,Central African Republic,Chad,Guinea,Ivory Coast,Burkina Faso,Afghanistan,Rwanda,Benin,Syria,Burundi,Togo
Happiness_Score,7.587,7.561,7.527,7.522,7.427,7.406,7.378,7.364,7.286,7.284,7.278,7.226,7.2,7.187,7.119,6.983,6.946,6.94,6.937,6.901,6.867,6.853,6.81,6.798,6.786,6.75,6.67,6.611,6.575,6.574,6.505,6.485,6.477,6.455,6.411,6.329,6.302,6.298,6.295,6.269,6.168,6.13,6.123,6.003,5.995,5.987,5.984,5.975,5.96,5.948,5.89,5.889,5.878,5.855,5.848,5.833,5.828,5.824,5.813,5.791,5.77,5.759,5.754,5.716,5.709,5.695,5.689,5.605,5.589,5.548,5.477,5.474,5.429,5.399,5.36,5.332,5.286,5.268,5.253,5.212,5.194,5.192,5.192,5.14,5.129,5.124,5.123,5.102,5.098,5.073,5.057,5.013,5.007,4.971,4.959,4.949,4.898,4.885,4.876,4.874,4.867,4.857,4.839,4.8,4.788,4.786,4.739,4.715,4.694,4.686,4.681,4.677,4.642,4.633,4.61,4.571,4.565,4.55,4.518,4.517,4.514,4.512,4.507,4.436,4.419,4.369,4.35,4.332,4.307,4.297,4.292,4.271,4.252,4.218,4.194,4.077,4.033,3.995,3.989,3.956,3.931,3.904,3.896,3.845,3.819,3.781,3.681,3.678,3.667,3.656,3.655,3.587,3.575,3.465,3.34,3.006,2.905,2.839
Standard_Error,0.03411,0.04884,0.03328,0.0388,0.03553,0.0314,0.02799,0.03157,0.03371,0.04083,0.0347,0.04454,0.03751,0.04176,0.03839,0.04076,0.03499,0.03676,0.03595,0.03729,0.01866,0.05335,0.06476,0.0378,0.0491,0.01848,0.058,0.06257,0.03512,0.04612,0.04168,0.04539,0.05051,0.03557,0.04633,0.03468,0.04206,0.03868,0.04456,0.09811,0.10895,0.05618,0.05224,0.04361,0.04267,0.03581,0.04098,0.04528,0.05412,0.03914,0.05642,0.03799,0.04563,0.04114,0.04251,0.03843,0.05371,0.04615,0.03938,0.04263,0.0433,0.04394,0.07832,0.03135,0.13693,0.05635,0.0558,0.05099,0.05018,0.04175,0.07197,0.05051,0.04013,0.02596,0.03107,0.03864,0.03823,0.04192,0.03225,0.03363,0.03726,0.04524,0.05235,0.02424,0.06988,0.06607,0.04864,0.04802,0.0464,0.04934,0.06161,0.0342,0.05376,0.07896,0.05013,0.06913,0.09438,0.07446,0.06698,0.03313,0.08742,0.05062,0.04337,0.06107,0.05648,0.03198,0.03589,0.04394,0.03077,0.04449,0.04412,0.05232,0.04585,0.04742,0.0429,0.11068,0.02043,0.0674,0.07331,0.0368,0.03607,0.0378,0.07068,0.03947,0.04734,0.08096,0.04763,0.04934,0.04351,0.04221,0.0613,0.03751,0.04678,0.04828,0.0326,0.04367,0.04758,0.05602,0.06682,0.04797,0.04317,0.03608,0.04547,0.03602,0.05069,0.05061,0.03633,0.06112,0.0383,0.0359,0.05141,0.04324,0.03084,0.03464,0.03656,0.05015,0.08658,0.06727
GDP,1.39651,1.30232,1.32548,1.459,1.32629,1.29025,1.32944,1.33171,1.25018,1.33358,1.22857,0.95578,1.33723,1.02054,1.39451,0.98124,1.56391,1.33596,1.30782,1.42727,1.26637,1.36011,1.04424,1.52186,1.06353,1.32792,1.10715,1.69042,1.27778,1.05351,1.17898,1.06166,0.91861,0.9669,1.39541,1.23011,1.2074,1.29098,1.55422,0.99534,1.21183,0.76454,0.74553,0.63244,1.16891,1.27074,1.24461,0.86402,1.32376,1.25114,0.68133,0.59448,0.75985,1.12254,1.18498,1.14723,0.59325,0.90019,1.03192,1.12555,1.12486,1.08254,1.13145,1.13764,0.81038,1.20806,1.20813,0.93929,0.80148,0.95847,1.00761,1.38604,1.15174,0.82827,0.63216,1.06098,0.47428,0.65435,0.77042,1.02389,0.59543,0.90198,0.97438,0.89012,0.47038,1.04345,0.92053,1.15991,1.11312,0.70532,0.18847,0.73479,0.91851,0.08308,0.87867,0.83223,0.37545,0.89537,0.59066,0.82819,0.71206,1.15406,1.02564,1.12094,0.59532,0.39047,0.88113,0.59867,0.39753,1.0088,0.79907,0.98549,0.92049,0.54558,0.271,0.0712,0.64499,0.52107,0.26673,0.39232,0.35997,0.19073,0.33024,0.45407,0.36471,0.44025,0.76821,0.99355,0.27108,0.7419,0.01604,0.83524,0.4225,1.01216,0.8818,0.54649,0.75778,0.26074,0.67866,0.23906,0.21102,0.36498,1.06024,0.0694,0.46038,0.2852,0.20824,0.0785,0.34193,0.17417,0.46534,0.25812,0.31982,0.22208,0.28665,0.6632,0.0153,0.20868
Family,1.34951,1.40223,1.36058,1.33095,1.32261,1.31826,1.28017,1.28907,1.31967,1.30923,1.22393,1.23788,1.29704,0.91451,1.24711,1.23287,1.21963,1.36948,1.28566,1.12575,1.28548,1.08182,1.25596,1.02,1.1985,1.29937,1.12447,1.0786,1.26038,1.24823,1.20643,1.2089,1.24018,1.26504,1.08393,1.31379,1.30203,1.07617,1.16594,0.972,1.18354,1.02507,1.04356,1.34043,1.26999,1.25712,0.95774,0.99903,1.21624,1.19777,0.97841,1.01528,1.30477,1.12241,1.27385,1.25745,1.14184,0.97459,1.23289,1.27948,1.07023,0.79624,1.11862,1.23617,1.15102,1.07008,0.89318,1.07772,0.81198,1.22668,0.98521,1.05818,1.22791,1.08708,0.91226,0.94632,1.15115,0.90432,1.10395,0.93793,0.41411,1.05392,0.90557,0.94675,0.91612,0.88588,1.00964,1.13935,1.09562,1.03516,0.95152,0.64095,1.00232,1.02626,0.80434,0.91916,1.04103,1.17202,0.73803,1.3006,1.07284,0.92933,0.80001,1.20215,0.95348,0.85563,0.60429,0.92558,0.43106,0.54447,1.20278,0.81889,1.18468,0.67954,1.03276,0.78968,0.38174,1.01404,0.74302,1.0012,0.86449,0.60406,0.95571,0.86908,0.99876,0.59207,0.77711,1.10464,0.70905,0.38562,0.41134,1.01905,0.88767,1.10614,0.747,0.68093,0.8604,1.03526,0.6629,0.79273,1.13299,0.97619,0.90528,0.77265,0.62736,1.00268,0.66801,0.24754,0.76062,0.46475,0.77115,0.85188,0.30285,0.7737,0.35386,0.47489,0.41587,0.13995
Health ,0,0,0.87464,0,0.90563,0,0.89284,0.91087,0.90837,0,0.91387,0.86027,0.89042,0.81444,0,0.69702,0.91894,0,0.89667,0,0.90943,0,0.72052,1.02525,0.79661,0.89186,0.85857,0.79733,0.94579,0.78723,0.84483,0.8116,0.69077,0.7385,0.72025,0.95562,0.88721,0,0,0.6082,0,0.67737,0,0.59772,0.78902,0.99111,0,0.79075,0.74716,0,0.5392,0.61826,0.66098,0.64368,0,0.73128,0.74314,0.73017,0.73608,0,0.72394,0,0.7038,0.66926,0.68741,0,0.92356,0.61766,0,0,0.7095,1.01328,0.77361,0.63793,0.74676,0.73172,0.65088,0.16007,0.57407,0.64045,0,0.69639,0.72521,0.81658,0.29924,0.7689,0.74836,0.87519,0.72437,0.58114,0.43873,0.60954,0.73545,0.09131,0.81325,0.79081,0.07612,0,0.54909,0.60268,0,0.88213,0,0.75905,0.6951,0,0.73793,0.66015,0.60164,0.69805,0,0.60237,0.27688,0.40132,0.33475,0.34201,0.51529,0,0.38847,0.09806,0,0.44055,0.36575,0.35874,0.41435,0.36291,0.7299,0.04776,0.48246,0,0.22562,0.70806,0.23402,0.76649,0.61712,0.40064,0.16683,0.20583,0.31051,0.36315,0.33861,0.4354,0.43372,0.29707,0,0.38215,0.46721,0.06699,0.1501,0.24009,0.15185,0,0.30335,0.42864,0,0.72193,0.22396,0
Freedom,0.66557,0.62877,0.64938,0.66973,0.63297,0.64169,0.61576,0.6598,0.63938,0.65124,0.41319,0.63376,0.62433,0.48181,0.54604,0.49049,0.61583,0.61777,0.5845,0.64157,0.59625,0.63274,0.42908,0.54252,0.5421,0.61477,0.44132,0.6404,0.55011,0.44974,0.46364,0.60362,0.53466,0.55664,0.31048,0.45951,0.60365,0.3974,0.55499,0.59657,0.55884,0.4035,0.57733,0.65821,0.31751,0.49615,0.33208,0.48574,0.45492,0.26236,0.57414,0.32818,0.53899,0.51649,0.60855,0.21342,0.55475,0.41496,0.37938,0.53122,0.53024,0.25883,0.41668,0.36679,0.50442,0.49027,0.40672,0.28579,0.24749,0.4761,0.56066,0.59608,0.44888,0.46611,0.59444,0.22815,0.43477,0.34334,0.53206,0.3703,0.12102,0.40661,0.1826,0.51697,0.48827,0.35068,0.20107,0.51469,0.29671,0.62545,0.46582,0.41691,0.33457,0.34037,0.35733,0.09245,0.31767,0.57672,0.59591,0.43626,0.30658,0.07699,0.33916,0.32112,0.40148,0.47216,0.26268,0.24499,0.4082,0.30033,0.25123,0.76545,0.33207,0.42342,0.25861,0.28531,0.39786,0.10081,0.24425,0.22605,0.38282,0.4345,0.4084,0.24232,0.42215,0.46074,0.19847,0.49495,0.44017,0.40577,0.43054,0.53726,0.49309,0.30587,0.17288,0.35571,0.10384,0.38857,0.41466,0.22917,0.45727,0.36772,0.31914,0.47692,0.66246,0.32878,0.19184,0.48879,0.23501,0.37725,0.46866,0.39493,0.23414,0.59201,0.4845,0.15684,0.1185,0.36453
Government_Corruption,0.41978,0,0.48357,0,0,0.41372,0.31814,0.43844,0,0.35637,0.07785,0.10583,0,0.21312,0.1589,0.17521,0.37798,0.28703,0.2254,0,0,0.32524,0,0.4921,0.0927,0.21843,0.12869,0,0.20646,0.08484,0.02652,0,0.0512,0.03187,0,0,0.13586,0.08129,0.25609,0,0.0114,0.11776,0.09472,0.30826,0,0,0,0.1809,0.306,0.02901,0.088,0,0.08242,0.08454,0,0.01031,0,0.05989,0,0.04212,0.10501,0.0243,0.11023,0.03005,0.02299,0.1428,0.06146,0.17383,0.04741,0.30844,0.07521,0.37124,0.15184,0,0.10441,0.15746,0.04232,0.0403,0,0.16065,0,0.14293,0,0.02781,0.12468,0.00649,0.02617,0.01078,0.06332,0.12279,0.39928,0.08546,0.05327,0.15603,0.06413,0,0.12504,0.14234,0,0.02666,0.0306,0.01397,0.04582,0,0.06825,0.15072,0.06358,0.12905,0,0.05863,0.02961,0.13788,0,0.04355,0.08079,0.06232,0.08492,0.1466,0.17175,0.07625,0,0,0,0.17461,0.05839,0,0.039,0.12474,0.19034,0.38331,0.06977,0,0,0,0.06324,0.07854,0,0.12352,0,0.199,0.07267,0,0.11091,0.15639,0.07247,0,0,0,0.05269,0.12139,0.17922,0,0.09719,0.55191,0,0.18906,0,0
Generosity,0.29678,0.4363,0.34139,0.34699,0.45811,0.23351,0.4761,0.36262,0.47501,0.43562,0.33172,0.25497,0.33088,0.14074,0.40105,0.14574,0.28034,0.45901,0.2225,0.26428,0.51912,0.21542,0.05841,0.31105,0.24434,0.28214,0.33363,0.32573,0.12332,0.11451,0.10686,0.2324,0.18401,0.5763,0.13706,0.18227,0.51752,0.25376,0.16228,0.16991,0.31844,0.10692,0.27489,0.22837,0.16893,0.10705,0.18557,0.11541,0.17362,0.22823,0.20536,0.20951,0.3424,0.11827,0.25328,0.02641,0.27815,0.14982,0.11046,0.16759,0.33075,0.05444,0.18295,0.00199,0.2123,0.26169,0.30638,0.07822,0.2831,0.16979,0.37744,0.39478,0.0868,0.51535,0.1686,0.12253,0.3003,0.27233,0.47998,0.07799,0.33671,0.11053,0.1614,0.08185,0.19591,0.13748,0.19231,0.13719,0.18226,0.24991,0.50318,0.07172,0.22359,0.22269,0.14272,0.24808,0.16388,0.21684,0.42192,0.3323,0.18259,0.56433,0.21854,0.128,0.23027,0.22974,0.06431,0.11251,0.21222,0.38086,0.15275,0.17922,0.11973,0.23087,0.18987,0.24362,0.26475,0.19062,0.46187,0.24834,0.32296,0.24325,0.21488,0.219,0.37542,0.18093,0.07855,0.10461,0.79588,0.05547,0.33128,0.40828,0.20618,0.11921,0.11291,0.09131,0.12344,0.18798,0.12388,0.17441,0.29066,0.20843,0.06822,0.19387,0.40359,0.34377,0.21333,0.23835,0.18386,0.28657,0.20165,0.21747,0.3651,0.22628,0.1826,0.47179,0.19727,0.16681
Dystopia_Residual,2.51738,2.70201,2.49204,2.46531,2.45176,2.61955,2.4657,2.37119,2.26425,2.26646,3.08854,3.17728,2.5332,3.60214,2.51011,3.26001,1.96961,1.9757,2.41484,2.24743,1.96994,2.47489,3.19131,1.88501,2.84848,2.11569,2.67585,1.55674,2.21126,2.836,2.67782,2.32142,2.85737,2.31945,2.43872,2.12367,1.6488,2.32323,1.87634,2.79094,2.26882,3.035,2.74255,2.23741,2.24639,1.68435,2.21978,2.53942,1.73797,2.02518,2.82334,3.10712,2.18896,2.24729,1.61583,2.44649,2.32407,2.5945,2.1309,1.86565,1.88541,2.75414,2.09066,2.27394,2.32038,1.59888,1.88931,2.43209,2.76579,1.86984,1.76145,0.65429,1.58782,1.86399,2.20173,2.08528,2.2327,2.89319,1.63794,2.00073,3.10709,1.87996,2.10017,1.8604,2.6343,1.93129,2.025,1.26462,1.62215,1.7536,2.11032,2.45373,1.73933,3.05137,1.89894,2.06367,2.79832,1.21305,1.73799,1.34759,2.48676,1.80101,1.57059,1.24074,1.84408,2.11399,2.12466,2.04384,2.51767,1.6944,1.5714,1.95335,1.71956,2.30919,2.44191,2.77729,2.27513,2.20857,2.24173,2.86712,1.95637,2.44876,2.51009,2.11773,1.78555,2.05125,1.75873,1.46181,1.41805,1.59541,2.80791,0.67108,1.95071,0.89991,1.59927,1.92313,1.94939,1.79293,1.68135,1.95812,1.42766,1.44395,0.99895,1.87877,0.98195,1.38079,1.851,2.7223,1.94296,1.99172,1.41723,1.46494,1.9521,0.67042,1.63328,0.32858,1.83302,1.56726
